name,grand_slam,date_of_birth,date_of_first_title,age
Nancy Richey,French Open,8/23/1942,6/8/1968,9421
Virginia Wade,US Open,7/10/1945,9/7/1968,8460
Billie Jean King,Wimbledon,11/22/1943,7/5/1968,8992
Margaret Court,Australian Open,7/16/1942,1/26/1969,9691
Evonne Goolagong Cawley,French Open,7/31/1951,6/5/1971,7249
Chris Evert,French Open,12/21/1954,6/15/1974,7116
Sue Barker,French Open,4/19/1956,6/13/1976,7360
Kerry Melville Reid,Australian Open,8/7/1947,1/8/1977,10747
Mima Jaušovec,French Open,7/20/1956,6/4/1977,7624
Virginia Ruzici,French Open,1/31/1955,6/10/1978,8531
Martina Navratilova,Wimbledon,10/18/1956,7/7/1978,7932
Barbara Jordan,Australian Open,4/2/1957,1/1/1980,8309
Tracy Austin,US Open,12/12/1962,9/8/1979,6114
Hana Mandlíková,Australian Open,2/19/1962,1/3/1981,6893
Steffi Graf,French Open,6/14/1969,6/6/1987,6566
Arantxa Sánchez Vicario,French Open,12/18/1971,6/10/1989,6384
Monica Seles,French Open,12/2/1973,6/9/1990,6033
Gabriela Sabatini,US Open,5/16/1970,9/8/1990,7420
Conchita Martínez,Wimbledon,4/16/1972,7/2/1994,8112
Mary Pierce,Australian Open,1/15/1975,1/28/1995,7318
Martina Hingis,Australian Open,9/30/1980,1/25/1997,5961
Iva Majoli,French Open,8/12/1977,6/7/1997,7239
Jana Novotná,Wimbledon,10/2/1968,7/4/1998,10867
Lindsay Davenport,US Open,6/8/1976,9/12/1998,8131
Serena Williams,US Open,9/26/1981,9/11/1999,6559
Venus Williams,Wimbledon,6/17/1980,7/8/2000,7326
Jennifer Capriati,Australian Open,3/29/1976,1/27/2001,9070
Justine Henin,French Open,6/1/1982,6/7/2003,7676
Anastasia Myskina,French Open,7/8/1981,6/5/2004,8368
Maria Sharapova,Wimbledon,4/19/1987,7/3/2004,6285
Svetlana Kuznetsova,US Open,6/27/1985,9/11/2004,7016
Kim Clijsters,US Open,6/8/1983,9/10/2005,8130
Amélie Mauresmo,Australian Open,7/5/1979,1/28/2006,9704
Ana Ivanovic,French Open,11/6/1987,6/7/2008,7519
Francesca Schiavone,French Open,6/23/1980,6/5/2010,10939
Li Na,French Open,2/26/1982,6/4/2011,10690
Petra Kvitová,Wimbledon,3/8/1990,7/2/2011,7786
Samantha Stosur,US Open,3/30/1984,9/11/2011,10026
Victoria Azarenka,Australian Open,7/31/1989,1/28/2012,8216
Marion Bartoli,Wimbledon,10/2/1984,7/6/2013,10504
Flavia Pennetta,US Open,2/25/1982,9/12/2015,12252
Angelique Kerber,Australian Open,1/18/1988,1/30/2016,10239
Garbiñe Muguruza,French Open,10/8/1993,6/4/2016,8275
Jeļena Ostapenko,French Open,6/8/1997,6/10/2017,7307
Sloane Stephens,US Open,3/20/1993,9/9/2017,8939
Caroline Wozniacki,Australian Open,7/11/1990,1/27/2018,10062
Simona Halep,French Open,9/27/1991,6/9/2018,9752
Naomi Osaka,US Open,10/16/1997,9/8/2018,7632
Ann Haydon-Jones,NA,10/7/1938,NA,NA
Chris O'Neil,NA,3/19/1956,NA,NA
Ken Rosewall,French Open,11/2/1934,6/9/1968,12273
Rod Laver,Wimbledon,8/9/1938,7/6/1968,10924
Arthur Ashe,US Open,7/10/1943,9/8/1968,9192
Jan Kodeš,French Open,3/1/1946,6/7/1970,8864
John Newcombe,Wimbledon,5/23/1944,7/4/1970,9538
Stan Smith,US Open,12/14/1946,8/12/1971,9007
Andrés Gimeno,French Open,8/3/1937,6/4/1972,12724
Ilie Năstase,US Open,7/19/1946,9/10/1972,9550
Jimmy Connors,Australian Open,9/2/1952,1/1/1974,7791
Björn Borg,French Open,6/6/1956,6/16/1974,6584
Manuel Orantes,US Open,2/5/1949,9/7/1975,9710
Mark Edmondson,Australian Open,6/24/1954,1/5/1976,7865
Adriano Panatta,French Open,7/9/1950,6/14/1976,9472
Roscoe Tanner,Australian Open,10/15/1951,1/10/1977,9219
Guillermo Vilas,French Open,8/17/1952,6/5/1977,9058
Vitas Gerulaitis,Australian Open,7/26/1954,1/1/1978,8560
John McEnroe,US Open,2/16/1959,9/9/1979,7510
Brian Teacher,Australian Open,12/23/1954,1/5/1981,9510
Johan Kriek,Australian Open,4/5/1958,1/2/1982,8673
Mats Wilander,French Open,8/22/1964,6/11/1982,6502
Yannick Noah,French Open,5/18/1960,6/16/1983,8429
Ivan Lendl,French Open,3/7/1960,6/12/1984,8863
Boris Becker,Wimbledon,11/22/1967,7/8/1985,6438
Stefan Edberg,Australian Open,1/19/1966,12/9/1985,7264
Pat Cash,Wimbledon,5/27/1965,7/6/1987,8075
Michael Chang,French Open,2/22/1972,6/12/1989,6320
Andrés Gómez,French Open,2/27/1960,6/10/1990,11061
Pete Sampras,US Open,8/12/1971,9/10/1990,6969
Jim Courier,French Open,8/17/1970,6/10/1991,7602
Michael Stich,Wimbledon,10/18/1968,7/8/1991,8298
Andre Agassi,Wimbledon,4/29/1970,7/6/1992,8104
Sergi Bruguera,French Open,1/16/1971,6/7/1993,8178
Thomas Muster,French Open,10/2/1967,6/12/1995,10115
Yevgeny Kafelnikov,French Open,2/18/1974,6/10/1996,8148
Richard Krajicek,Wimbledon,12/6/1971,7/8/1996,8981
Gustavo Kuerten,French Open,9/10/1976,6/9/1997,7577
Patrick Rafter,US Open,12/28/1972,9/8/1997,9020
Petr Korda,Australian Open,1/23/1968,2/1/1998,10967
Carlos Moyá,French Open,8/27/1976,6/8/1998,7955
Marat Safin,US Open,1/27/1980,9/11/2000,7533
Goran Ivanišević,Wimbledon,9/13/1971,7/9/2001,10892
Lleyton Hewitt,US Open,2/24/1981,9/10/2001,7503
Thomas Johansson,Australian Open,3/24/1975,1/28/2002,9807
Albert Costa,French Open,6/25/1975,6/10/2002,9847
Juan Carlos Ferrero,French Open,2/12/1980,6/9/2003,8518
Roger Federer,Wimbledon,8/8/1981,7/7/2003,8003
Andy Roddick,US Open,8/30/1982,9/7/2003,7678
Gastón Gaudio,French Open,12/9/1978,6/7/2004,9312
Rafael Nadal,French Open,6/3/1986,6/6/2005,6943
Novak Djokovic,Australian Open,5/22/1987,1/28/2008,7556
Juan Martín del Potro,US Open,9/23/1988,9/14/2009,7661
Andy Murray,US Open,5/15/1987,9/10/2012,9250
Stan Wawrinka,Australian Open,3/28/1985,1/26/2014,10531
Marin Čilić,US Open,9/28/1988,9/8/2014,9476
William Bowrey,NA,12/25/1943,NA,NA
